tag,structural
"taxonomy=C2L-LC",1.77653E+08
"taxonomy=C2L-MC",1.49132E+09
"taxonomy=C2L-PC",1.85029E+09
"taxonomy=C3L-LC",7.49659E+07
"taxonomy=C3L-PC",1.12817E+09
"taxonomy=MH-LC",3.91917E+08
"taxonomy=MH-MC",1.32616E+10
"taxonomy=MH-PC",4.92213E+09
"taxonomy=RM1L-LC",3.66085E+08
"taxonomy=RM1L-MC",2.96480E+09
"taxonomy=RM1L-PC",2.95778E+09
"taxonomy=S1L-LC",6.48880E+06
"taxonomy=S1L-MC",2.37459E+08
"taxonomy=S1L-PC",1.39978E+08
"taxonomy=S2L-LC",0.00000E+00
"taxonomy=S2L-MC",5.32371E+07
"taxonomy=S2L-PC",0.00000E+00
"taxonomy=S3-LC",7.35248E+07
"taxonomy=S3-MC",5.32732E+08
"taxonomy=S3-PC",5.25371E+08
"taxonomy=S4L-LC",6.14867E+06
"taxonomy=S4L-MC",2.20286E+08
"taxonomy=S4L-PC",7.56979E+07
"taxonomy=W1-LC",3.10094E+09
"taxonomy=W1-MC",3.39081E+10
"taxonomy=W1-PC",2.59528E+10
