eid,event,mag,lon,lat,depth,losses
0,Birch_Bay_Uplift,6.888393971823891,-122.973765046,48.8426852838,9.89949495322,0.0
1,DDMFZ_EQ1,7.291294352800728,-122.485690496,48.4232776556,10.3923048308,1129050.0
2,LCBC_EQ3,6.553481990871103,-123.479190697,48.113943531800004,9.82982452149,22506400.0
3,RSC5_Death,7.082923830450921,-123.04069259200001,46.978341021300004,9.89949495322,12745200.0
4,SFZ_EQE,6.770765700663405,-122.34569865899999,47.438991638699996,9.75079942144,0.0
5,SFZ_EQ_A,6.711234819228006,-122.486679575,47.5000063931,9.89949495322,0.0
6,SFZ_EQ_B,6.870640022869666,-122.376278575,47.5437279771,10.3366188527,0.0
7,SFZ_EQ_V,6.7314958913311225,-122.376293459,47.543728199099995,10.3366188527,0.0
8,SWIF_EQ1,7.2573449891846336,-122.557555533,47.950638435500004,9.82982452149,5444860.0
9,SWIF_EQ2,7.323320192661912,-122.54989786700001,47.9567002424,10.3923048308,5136020.0
10,Sandy_Point_EQ_C,6.096222048766558,-122.76151058200001,48.71833895100001,9.89949495322,0.0
11,TFZ_EQ,7.10285835495405,-122.627358822,47.44064492729999,9.82982452149,255342.0
12,Utsalady_EQ1,6.628767193152112,-122.606359488,48.3508932008,10.3923048308,0.0
13,Utsalady_EQ2,6.552614139835013,-122.606359488,48.3508932008,10.3923048308,0.0
14,VasaParkEQ,7.011750749198022,-122.37098021700001,47.390093045,10.082536366,69565.0
15,West_Point_Sewer_Log_Death,7.711059374092757,-122.37807960100001,47.4885475568,9.89949495322,2385200.0
16,crane_lake_eq_1,6.822073776029807,-122.475853016,47.5550518158,10.3366188527,0.0
17,crane_lake_eq_2,6.714995118427567,-122.475853016,47.5550518158,10.3366188527,0.0
18,frigid_EQ_1,6.318580644436616,-123.259852376,47.438093619700005,9.96938564803,0.0
19,kendall_EQB,6.52214606927538,-122.00130815700001,48.8316290467,9.89949495322,0.0
20,kendall_EQC,6.4396272081132055,-122.00130815700001,48.8316290467,9.89949495322,0.0
21,kendall_eqA,6.556127704963336,-122.00130815700001,48.8316290467,9.89949495322,0.0
22,sandypt_eqA,6.94826475215001,-123.05757389799999,48.7790267326,9.89949495322,0.0
23,sandypt_eqB,6.1599944132877065,-122.76151058200001,48.71833895100001,9.89949495322,0.0
24,smf_E1,7.111979671430371,-123.457639911,47.43053959,10.1255534104,43982500.0
25,smf_E2,6.799908194559188,-123.207610567,47.5107378349,10.1255534104,381480.0
26,smf_E3,7.0407991668515715,-123.20537261,47.5108660171,10.1255534104,1226330.0
