mainshock,year_bp
Utsalady_EQ2,384.78060032051513
Birch_Bay_Uplift,645.2019846288746
SFZ_EQE,748.6432463901117
kendall_EQC,820.8594464711908
SFZ_EQ_D,964.109045328688
TFZ_EQ,1039.5874677501715
West_Point_Sewer_Log_Death,1039.6053428481441
RSC5_Death,1086.5243387557618
smf_E3,1097.0487119188942
SFZ_EQ_C,1269.6066125771345
Sandy_Point_EQ_C,1502.8231219622428
LCBC_EQ3,1504.0182125233823
Utsalady_EQ1,1737.609369294946
sandypt_eqB,2207.917509016388
SFZ_EQ_B,2301.9907009395724
DDMFZ_EQ1,2341.2317010832
smf_E2,2579.1162360640405
kendall_EQB,3065.821473923399
LCBC_EQ2,3177.397543193312
frigid_EQ_1,3354.425266470517
SWIF_EQ2,3560.138392013213
sandypt_eqA,4243.246224612196
SFZ_EQ_A,7024.262180170725
kendall_eqA,7526.499999999998
SWIF_EQ1,7698.158161795782
DDMFZ_EQ2,8085.274754382857
smf_E1,8631.464923982108
VasaParkEQ,11184.536871880451
SFZ_EQ_V,12532.215508380688
